I	I[ALFS]
ruwasqa	ruwa[VRoot][=hacer][^DB][--]sqa[Tns_VPers][+3.Sg.Subj.IPst]

,	,[$,]

Ña	Ña[Part_Disc]

wintuta	wintu[NRootES][^DB][--]ta[Cas][+Acc]

wisq'arunanpaq	wisq'a[VRoot][=cerrar][--]ru[VDeriv][+Rptn][^DB][--]na[NS][+Obl][^DB][--]n[NPers][+3.Sg.Poss][^DB][--]paq[Cas][+Ben]

qatiramushaqtinñas	qati[VRoot][=seguir,arrear][--]ra[VDeriv][+Rptn][--]mu[VDeriv][+Cis_Trs][^DB][--]sha[Asp][+Prog][^DB][--]qti[NS][+DS][^DB][--]n[NPers][+3.Sg.Poss][^DB][--]ña[Amb][+Disc][^DB][--]s[Amb][+IndE]

,	,[$,]

Inka	Inka[NRoot][=inca]

Qolla	Qulla[NRoot][=majestuoso]

rikhuriramusqa	rikhuri[VRoot][=aparecer][--]ra[VDeriv][+Rptn][--]mu[VDeriv][+Cis_Trs][^DB][--]sqa[Tns_VPers][+3.Sg.Subj.IPst]

.	.[$,]

Inka	Inka[NRoot][=inca]

Qollaqsi	Qulla[NRoot][=majestuoso][^DB][--]q[Cas][+Gen][^DB][--]si[Amb][+IndE]

riki	riki[NRoot][=por_supuesto]

wintuqa	wintu[NRootES][^DB][--]qa[Amb][+Top]

,	,[$,]

chaysi	chay[PrnDem][^DB][--]si[Amb][+IndE]

Qolla	Qulla[NRoot][=majestuoso]

ladoqa	lado[NRootES][^DB][--]qa[Amb][+Top]

pura	pura[SP]

panpa	panpa[NRoot][=suelo,tierra]

askha	askha[NRoot][=mucho]

wintuyoq	wintu[NRootES][^DB][--]yuq[NDeriv][+Poss]

.	.[$,]

Inka	Inka[NRoot][=inca]

Qolla	Qulla[NRoot][=majestuoso]

nisqa	ni[VRoot][=decir][^DB][--]sqa[Tns_VPers][+3.Sg.Subj.IPst]

:	:[$,]

Imapaqmi	Ima[NRoot][=cosa][^DB][--]paq[Cas][+Ben][^DB][--]mi[Amb][+DirE]

wintuyta	wintu[NRootES][^DB][--]y[NPers][+1.Sg.Poss][^DB][--]ta[Cas][+Acc]

wisq'ayta	wisq'a[VRoot][=cerrar][^DB][--]y[NS][+Inf][^DB][--]ta[Cas][+Acc]

munanki	muna[VRoot][=querer][^DB][--]nki[VPers][+2.Sg.Subj]

?	?[$,]

Llaqtay	Llaqta[NRoot][=pueblo][^DB][--]y[NPers][+1.Sg.Poss]

ruwanaypaq	ruwa[VRoot][=hacer][^DB][--]na[NS][+Obl][^DB][--]y[NPers][+1.Sg.Poss][^DB][--]paq[Cas][+Ben]

,	,[$,]

nispa	ni[VRoot][=decir][^DB][--]spa[NS][+SS]

Inkaqa	Inka[NRoot][=inca][^DB][--]qa[Amb][+Top]

contestasqa	contesta[VRootES][^DB][--]sqa[Tns_VPers][+3.Sg.Subj.IPst]

.	.[$,]

Sichus	Si[Part_Cond][^DB][--]chu[Amb][+Intr_Neg][^DB][--]s[Amb][+IndE]

llaqtaykita	llaqta[NRoot][=pueblo][^DB][--]yki[NPers][+2.Sg.Poss][^DB][--]ta[Cas][+Acc]

ruwayta	ruwa[VRoot][=hacer][^DB][--]y[NS][+Inf][^DB][--]ta[Cas][+Acc]

munanki	muna[VRoot][=querer][^DB][--]nki[VPers][+2.Sg.Subj]

chayqa	chay[PrnDem][^DB][--]qa[Amb][+Top]

,	,[$,]

huk	huk[NRootNUM]

p'unchayllapaqmi	p'unchay[NRoot][=día][^DB][--]lla[Amb][+Lim_Aff][^DB][--]paq[Cas][+Ben][^DB][--]mi[Amb][+DirE]

consentishayki	consenti[VRootES][^DB][--]sha[Asp][+Prog][--]yki[VPers][+1.Sg.Subj_2.Sg.Obj]

wintuy	wintu[NRootES][^DB][--]y[NPers][+1.Sg.Poss]

wisq'amunaykipaq	wisq'a[VRoot][=cerrar][--]mu[VDeriv][+Cis_Trs][^DB][--]na[NS][+Obl][^DB][--]yki[NPers][+2.Sg.Poss][^DB][--]paq[Cas][+Ben]

,	,[$,]

mana	mana[Part_Neg]

chay	chay[PrnDem]

p'unchay	p'unchay[NRoot][=día]

tukuyta	tuku[VRoot][=acabar,suceder,convertirse][^DB][--]y[NS][+Inf][^DB][--]ta[Cas][+Acc]

atinkichu	ati[VRoot][=poder,vencer][^DB][--]nki[VPers][+2.Sg.Subj][^DB][--]chu[Amb][+Intr_Neg]

chayqa	chay[PrnDem][^DB][--]qa[Amb][+Top]

manan	mana[Part_Neg][^DB][--]n[Amb][+DirE]

hayk'aqpas	hayk'aq[PrnInterr][=cuándo][^DB][--]pas[Amb][+Add]

tukunkichu	tuku[VRoot][=acabar,suceder,convertirse][^DB][--]nki[VPers][+2.Sg.Subj][^DB][--]chu[Amb][+Intr_Neg]

,	,[$,]

wintuymanmi	wintu[NRootES][^DB][--]y[NPers][+1.Sg.Poss][^DB][--]man[Cas][+Dat_Ill][^DB][--]mi[Amb][+DirE]

aswan	aswan[NRoot][=más,mucho]

kallpata	kallpa[NRoot][=fuerte][^DB][--]ta[Cas][+Acc]

churamusaq	chura[VRoot][=poner][--]mu[VDeriv][+Cis_Trs][^DB][--]saq[VPers][+1.Sg.Subj.Fut]

,	,[$,]

hinaspan	hina[VRoot][=hacer_así,ser_así][^DB][--]spa[NS][+SS][^DB][--]n[Amb][+DirE]

lliwta	lliw[NRoot][=todo][^DB][--]ta[Cas][+Acc]

pichanqa	picha[VRoot][=barrer][^DB][--]nqa[VPers][+3.Sg.Subj.Fut]

.	.[$,]

Chay	Chay[PrnDem]

situacionpi	situacion[NRootES][^DB][--]pi[Cas][+Loc]

rikukuspas	riku[VRoot][=ver,conocer,aparecer][^DB][--]ku[VDeriv][+Rflx_Int][^DB][--]spa[NS][+SS][^DB][--]s[Amb][+IndE]

,	,[$,]

Inkaqa	Inka[NRoot][=inca][^DB][--]qa[Amb][+Top]

watasqa	wata[VRoot][=atar][^DB][--]sqa[Tns_VPers][+3.Sg.Subj.IPst]

intita	inti[NRoot][=sol][^DB][--]ta[Cas][+Acc]

,	,[$,]

chhaynapin	chhayna[PrnDem][^DB][--]pi[Cas][+Loc][^DB][--]n[Amb][+DirE]

tiempo	tiempo[NRootES]

hatun	hatun[NRoot][=grande]

karay	karay[NRoot][=grande]

p'unchayman	p'unchay[NRoot][=día][^DB][--]man[Cas][+Dat_Ill]

tukusqa	tuku[VRoot][=acabar,suceder,convertirse][^DB][--]sqa[Tns_VPers][+3.Sg.Subj.IPst]

.	.[$,]

Ña	Ña[Part_Disc]

Qosqo	Qusqu[NRoot][NP]

ruwayta	ruwa[VRoot][=hacer][^DB][--]y[NS][+Inf][^DB][--]ta[Cas][+Acc]

tukuroqtinñas	tuku[VRoot][=acabar,suceder,convertirse][--]ru[VDeriv][+Rptn][^DB][--]qti[NS][+DS][^DB][--]n[NPers][+3.Sg.Poss][^DB][--]ña[Amb][+Disc][^DB][--]s[Amb][+IndE]

,	,[$,]

Inkata	Inka[NRoot][=inca][^DB][--]ta[Cas][+Acc]

warmin	warmi[NRoot][=mujer][^DB][--]n[NPers][+3.Sg.Poss]

nisqa	ni[VRoot][=decir][^DB][--]sqa[Tns_VPers][+3.Sg.Subj.IPst]

:	:[$,]

Askha	Askha[NRoot][=mucho]

tajamalkunataqa	tajamal[NRootES][--]kuna[Num][+Pl][^DB][--]ta[Cas][+Acc][^DB][--]qa[Amb][+Top]

ruwanayki	ruwa[VRoot][=hacer][^DB][--]na[NS][+Obl][^DB][--]yki[NPers][+2.Sg.Poss]

,	,[$,]

Inka	Inka[NRoot][=inca]

Qolla	Qulla[NRoot][=majestuoso]

wintuta	wintu[NRootES][^DB][--]ta[Cas][+Acc]

kacharimoqtinqa	kacha[VRoot][=mandar][--]ri[VDeriv][+Inch][--]mu[VDeriv][+Cis_Trs][^DB][--]qti[NS][+DS][^DB][--]n[NPers][+3.Sg.Poss][^DB][--]qa[Amb][+Top]

,	,[$,]

yapamantachá	yapa[NRoot][=demás,muy,de_nuevo][^DB][--]manta[Cas][+Abl][^DB][--]chá[Amb][+Asmp_Emph]

riki	riki[NRoot][=por_supuesto]

phukurapunqa	phuku[VRoot][=soplar][--]ra[VDeriv][+Rptn][--]pu[VDeriv][+Rgr_Iprs][^DB][--]nqa[VPers][+3.Sg.Subj.Fut]

.	.[$,]

Chayta	Chay[PrnDem][^DB][--]ta[Cas][+Acc]

comprendespan	comprende[VRootES][^DB][--]spa[NS][+SS][^DB][--]n[NPers][+3.Sg.Poss]

Inkaqa	Inka[NRoot][=inca][^DB][--]qa[Amb][+Top]

,	,[$,]

chay	chay[PrnDem]

llipin	llipi[NRoot][=todo][^DB][--]n[NPers][+3.Sg.Poss]

Qosqo	Qusqu[NRoot][NP]

urqokunataqa	urqu[NRoot][=cerro][--]kuna[Num][+Pl][^DB][--]ta[Cas][+Acc][^DB][--]qa[Amb][+Top]

ruwasqa	ruwa[VRoot][=hacer][^DB][--]sqa[Tns_VPers][+3.Sg.Subj.IPst]

,	,[$,]

chaymanta	chay[PrnDem][^DB][--]manta[Cas][+Abl]

pachan	pacha[NRoot][=mundo,tiempo][^DB][--]n[Amb][+DirE]

chay	chay[PrnDem]

urqokuna	urqu[NRoot][=cerro][--]kuna[Num][+Pl]

kan	ka[VRoot][=ser][^DB][--]n[VPers][+3.Sg.Subj]

.	.[$,]

Chay	Chay[PrnDem]

historiapin	historia[NRootES][^DB][--]pi[Cas][+Loc][^DB][--]n[Amb][+DirE]

noqa	nuqa[PrnPers+1.Sg]

pensarani	pensa[VRootES][^DB][--]ra[Tns][+NPst][--]ni[VPers][+1.Sg.Subj]

:	:[$,]

Inka	Inka[NRoot][=inca]

Qosqota	Qusqu[NRoot][NP][^DB][--]ta[Cas][+Acc]

ruwashaspa	ruwa[VRoot][=hacer][^DB][--]sha[Asp][+Prog][^DB][--]spa[NS][+SS]

p'unchayta	p'unchay[NRoot][=día][^DB][--]ta[Cas][+Acc]

hatunyayachiy	hatun[NRoot][=grande][--]ya[VS][+Trs][--]ya[VDeriv][+Aff][^DB][--]chi[VDeriv][+Caus][^DB][--]y[NS][+Inf]

munasqanpi	muna[VRoot][=querer][^DB][--]sqa[NS][+Perf][^DB][--]n[NPers][+3.Sg.Poss][^DB][--]pi[Cas][+Loc]

,	,[$,]

Inka	Inka[NRoot][=inca]

Qollaq	Qulla[NRoot][=majestuoso][^DB][--]q[Cas][+Gen]

wintunmanta	wintu[NRootES][^DB][--]n[NPers][+3.Sg.Poss][^DB][--]manta[Cas][+Abl]

cuidakuspa	cuida[VRootES][^DB][--]ku[VDeriv][+Rflx_Int][^DB][--]spa[NS][+SS]

.	.[$,]

Chayqa	Chay[PrnDem][^DB][--]qa[Amb][+Top]

paray	para[VRoot][=llover][^DB][--]y[NS][+Inf]

tiempon	tiempo[NRootES][^DB][--]n[Amb][+DirE]

karan	ka[VRoot][=ser][^DB][--]ra[Tns][+NPst][--]n[VPers][+3.Sg.Subj]

;	;[$,]

para	para[NRoot][=lluvia]

,	,[$,]

rit'i	rit'i[NRoot][=nieve]

tuta	tuta[NRoot][=noche]

-	-[$-]

p'unchay	p'unchay[NRoot][=día]

chayaq	chaya[VRoot][=llegar][^DB][--]q[NS][+Ag]

,	,[$,]

lomakuna	loma[NRootES][--]kuna[Num][+Pl]

panpakuna	panpa[NRoot][=suelo,tierra][--]kuna[Num][+Pl]

lliw	lliw[NRoot][=todo]

yuraq	yuraq[NRoot][=blanco]

rit'eqtapasqan	rit'eqtapasqan	+?

.	.[$,]

Chayqa	Chay[PrnDem][^DB][--]qa[Amb][+Top]

huk	huk[NRootNUM]

martes	martes[NRootES]

p'unchaychu	p'unchay[NRoot][=día][^DB][--]chu[Amb][+Intr_Neg]

hina	hina[Part_Sim]

,	,[$,]

puririmuyku	puri[VRoot][=andar][--]ri[VDeriv][+Inch][--]mu[VDeriv][+Cis_Trs][^DB][--]yku[VPers][+1.Pl.Excl.Subj]

kumunta	kumu[NRoot][=bajado][^DB][--]n[NPers][+3.Sg.Poss][^DB][--]ta[Cas][+Acc]

,	,[$,]

mana	mana[Part_Neg]

ñan	ñan[NRoot][=camino]

rikukunchu	riku[VRoot][=ver,conocer,aparecer][^DB][--]ku[VDeriv][+Rflx_Int][^DB][--]n[VPers][+3.Sg.Subj][^DB][--]chu[Amb][+Intr_Neg]

.	.[$,]

Mulakuna	Mula[NRootES][--]kuna[Num][+Pl]

caballokunapas	caballo[NRootES][--]kuna[Num][+Pl][^DB][--]pas[Amb][+Add]

purinku	puri[VRoot][=andar][^DB][--]nku[VPers][+3.Pl.Subj]

lliw	lliw[NRoot][=todo]

thankispa	thankispa	+?

ña	ña[Part_Disc]

Inti	Inti[NRoot][=sol]

Tayta	Tayta[NRoot][=padre]

tardenta	tarde[NRootES][^DB][--]n[NPers][+3.Sg.Poss][^DB][--]ta[Cas][+Acc]

allin	allin[NRoot][=bueno]

k'irayusqa	k'ira[VRoot][=recostar][--]yu[VDeriv][+Aff][^DB][--]sqa[NS][+Perf]

kashaqtinña	ka[VRoot][=ser][^DB][--]sha[Asp][+Prog][^DB][--]qti[NS][+DS][^DB][--]n[NPers][+3.Sg.Poss][^DB][--]ña[Amb][+Disc]

,	,[$,]

huk	huk[NRootNUM]

ratolla	rato[NRootES][^DB][--]lla[Amb][+Lim_Aff]

lloqsiramun	lluqsi[VRoot][=salir][--]ra[VDeriv][+Rptn][--]mu[VDeriv][+Cis_Trs][^DB][--]n[VPers][+3.Sg.Subj]

;	;[$,]

chaywan	chay[PrnDem][^DB][--]wan[Cas][+Con_Inst]

urqokuna	urqu[NRoot][=cerro][--]kuna[Num][+Pl]

lliw	lliw[NRoot][=todo]

yuraq	yuraq[NRoot][=blanco]

k'anchariyta	k'ancha[VRoot][=alumbrar][--]ri[VDeriv][+Inch][^DB][--]y[NS][+Inf][^DB][--]ta[Cas][+Acc]

qallarinku	qalla[VRoot][=empezar][--]ri[VDeriv][+Inch][^DB][--]nku[VPers][+3.Pl.Subj]

,	,[$,]

espejopas	espejo[NRootES][^DB][--]pas[Amb][+Add]

yawrashanman	yawrashanman	+?

hinaraq	hina[Part_Sim][^DB][--]raq[Amb][+Cont]

.	.[$,]

Chaychu	Chay[PrnDem][^DB][--]chu[Amb][+Intr_Neg]

hina	hina[Part_Sim]

ñawiyta	ñawi[NRoot][=ojo][^DB][--]y[NPers][+1.Sg.Poss][^DB][--]ta[Cas][+Acc]

rupharunman	rupha[VRoot][=arder][--]ru[VDeriv][+Rptn][^DB][--]n[VPers][+3.Sg.Subj][--]man[Mod][+Pot]

karan	ka[VRoot][=ser][^DB][--]ra[Tns][+NPst][--]n[VPers][+3.Sg.Subj]

,	,[$,]

surunpi	surunpi[NRoot][=conjuntivitis_nival]

qoyaspan	qoyaspan	+?

.	.[$,]

Ñan	Ña[Part_Disc][^DB][--]n[Amb][+DirE]

tutataña	tuta[NRoot][=noche][^DB][--]ta[Cas][+Acc][^DB][--]ña[Amb][+Disc]

chayamuyku	chaya[VRoot][=llegar][--]mu[VDeriv][+Cis_Trs][^DB][--]yku[VPers][+1.Pl.Excl.Subj]

huk	huk[NRootNUM]

paskana	paska[VRoot][=soltar][^DB][--]na[NS][+Obl]

lomadapi	lomada[NRootES][^DB][--]pi[Cas][+Loc]

kasqa	ka[VRoot][=ser][^DB][--]sqa[NS][+Perf]

,	,[$,]

chayman	chay[PrnDem][^DB][--]man[Cas][+Dat_Ill]

chayamullasqataq	chaya[VRoot][=llegar][--]mu[VDeriv][+Cis_Trs][^DB][--]lla[Amb][+Lim_Aff][^DB][--]sqa[NS][+Perf][^DB][--]taq[Amb][+Con_Intr]

huk	huk[NRootNUM]

arriero	arriero[NRootES]

media	media[NRootES]

piara	piara[NRootES]

mulantin	mula[NRootES][^DB][--]ntin[Cas][+Iclsv]

señoranwan	señora[NRootES][^DB][--]n[NPers][+3.Sg.Poss][^DB][--]wan[Cas][+Con_Inst]

kuska	kuska[NRoot][=juntos]

.	.[$,]

Wiksayoq	Wiksa[NRoot][=barriga][^DB][--]yuq[NDeriv][+Poss]

ultimo	ultimo[NRootES]

p'unchaypiña	p'unchay[NRoot][=día][^DB][--]pi[Cas][+Loc][^DB][--]ña[Amb][+Disc]

señoranqa	señora[NRootES][^DB][--]n[NPers][+3.Sg.Poss][^DB][--]qa[Amb][+Top]

kasqa	ka[VRoot][=ser][^DB][--]sqa[NS][+Perf]

.	.[$,]

Hinaspa	Hina[VRoot][=hacer_así,ser_así][^DB][--]spa[NS][+SS]

piara	piara[NRootES]

mulata	mula[NRootES][^DB][--]ta[Cas][+Acc]

ña	ña[Part_Disc]

carganta	carga[NRootES][^DB][--]n[NPers][+3.Sg.Poss][^DB][--]ta[Cas][+Acc]

urayachishaqtiykuña	ura[VRoot][=bajar][--]ya[VDeriv][+Aff][^DB][--]chi[VDeriv][+Caus][^DB][--]sha[Asp][+Prog][^DB][--]qti[NS][+DS][^DB][--]yku[NPers][+1.Pl.Excl.Poss][^DB][--]ña[Amb][+Disc]

para	para[NRoot][=lluvia]

hich'ayta	hich'a[VRoot][=derramar][^DB][--]y[NS][+Inf][^DB][--]ta[Cas][+Acc]

qallarimun	qalla[VRoot][=empezar][--]ri[VDeriv][+Inch][--]mu[VDeriv][+Cis_Trs][^DB][--]n[VPers][+3.Sg.Subj]

,	,[$,]

rayokunata	rayo[NRootES][--]kuna[Num][+Pl][^DB][--]ta[Cas][+Acc]

ladoykupi	lado[NRootES][^DB][--]yku[NPers][+1.Pl.Excl.Poss][^DB][--]pi[Cas][+Loc]

fuerte	fuerte[NRootES]

camaretazokuna	camaretazo[NRootES][--]kuna[Num][+Pl]

hinaraq	hina[Part_Sim][^DB][--]raq[Amb][+Cont]

t'oqyayushan	t'uqya[VRoot][=reventar][--]yu[VDeriv][+Aff][^DB][--]sha[Asp][+Prog][--]n[VPers][+3.Sg.Subj]

,	,[$,]

chaywan	chay[PrnDem][^DB][--]wan[Cas][+Con_Inst]

llipiyku	llipi[NRoot][=todo][^DB][--]yku[NPers][+1.Pl.Excl.Poss]

noqayku	nuqayku[PrnPers+1.Pl.Excl]

mancharisqa	mancha[VRoot][=tener_miedo][--]ri[VDeriv][+Inch][^DB][--]sqa[NS][+Perf]

kayushayku	ka[VRoot][=ser][--]yu[VDeriv][+Aff][^DB][--]sha[Asp][+Prog][--]yku[VPers][+1.Pl.Excl.Subj]

.	.[$,]

Chayqa	Chay[PrnDem][^DB][--]qa[Amb][+Top]

mulakuna	mula[NRootES][--]kuna[Num][+Pl]

caballokunapas	caballo[NRootES][--]kuna[Num][+Pl][^DB][--]pas[Amb][+Add]

mancharisqa	mancha[VRoot][=tener_miedo][--]ri[VDeriv][+Inch][^DB][--]sqa[NS][+Perf]

escapayta	escapa[VRootES][^DB][--]y[NS][+Inf][^DB][--]ta[Cas][+Acc]

kanchamanta	kancha[NRootES][^DB][--]manta[Cas][+Abl]

p'itaspa	p'ita[VRoot][=saltar][^DB][--]spa[NS][+SS]

munanku	muna[VRoot][=querer][^DB][--]nku[VPers][+3.Pl.Subj]

,	,[$,]

chayña	chay[PrnDem][^DB][--]ña[Amb][+Disc]

wiraqocha	wira[NRoot][=grasa]qucha[NRoot][=lago]

Jacinto	Jacinto[NP]

iskaynin	iskay[NRootNUM][^DB][--]nin[NPers][+3.Sg.Poss]

peonninkunata	peon[NRootES][^DB][--]nin[NPers][+3.Sg.Poss][--]kuna[Num][+Pl][^DB][--]ta[Cas][+Acc]

kamachin	kama[VRoot][=gobernar,mandar,crear][^DB][--]chi[VDeriv][+Caus][^DB][--]n[VPers][+3.Sg.Subj]

:	:[$,]

Cercokunamanta	Cerco[NRootES][--]kuna[Num][+Pl][^DB][--]manta[Cas][+Abl]

atajamuychis	ataja[VRootES][--]mu[VDeriv][+Cis_Trs][^DB][--]ychis[VPers][+2.Pl.Subj.Imp]

!	![$,]

Qantaq	Qan[PrnPers+2.Sg][^DB][--]taq[Amb][+Con_Intr]

,	,[$,]

Gregorio	Gregorio[NP]

,	,[$,]

montanay	monta[VRootES][^DB][--]na[NS][+Obl][^DB][--]y[NPers][+1.Sg.Poss]

caballoyta	caballo[NRootES][^DB][--]y[NPers][+1.Sg.Poss][^DB][--]ta[Cas][+Acc]

hap'iy	hap'i[VRoot][=agarrar,entender][^DB][--]y[VPers][+2.Sg.Subj.Imp]

.	.[$,]

Chayqa	Chay[PrnDem][^DB][--]qa[Amb][+Top]

chhayna	chhayna[PrnDem]

parapi	para[NRoot][=lluvia][^DB][--]pi[Cas][+Loc]

lliw	lliw[NRoot][=todo]

ch'uychullaña	ch'uychullaña	+?

mulata	mula[NRootES][^DB][--]ta[Cas][+Acc]

hap'iyushani	hap'i[VRoot][=agarrar,entender][--]yu[VDeriv][+Aff][^DB][--]sha[Asp][+Prog][--]ni[VPers][+1.Sg.Subj]

.	.[$,]

Arrieroq	Arriero[NRootES][^DB][--]q[Cas][+Gen]

señorantaq	señora[NRootES][^DB][--]n[NPers][+3.Sg.Poss][^DB][--]taq[Amb][+Con_Intr]

¡	¡[$,]

pobrecita	pobrecita	+?

!	![$,]

wiksa	wiksa[NRoot][=barriga]

nanaywan	nana[VRoot][=doler][^DB][--]y[NS][+Inf][^DB][--]wan[Cas][+Con_Inst]

mancharisqa	mancha[VRoot][=tener_miedo][--]ri[VDeriv][+Inch][^DB][--]sqa[NS][+Perf]

,	,[$,]

chhayna	chhayna[PrnDem]

niraq	niraq[NRoot][=color,clase,especie]

rayu	rayo[NRootES]

ukhupi	ukhu[NRoot][=dentro][^DB][--]pi[Cas][+Loc]

qaparqachayushan	qapa[VRoot][=gritar][--]rqa[VDeriv][+Rptn][--]cha[VDeriv][+Vdim][--]yu[VDeriv][+Aff][^DB][--]sha[Asp][+Prog][--]n[VPers][+3.Sg.Subj]

.	.[$,]

Manan	Mana[Part_Neg][^DB][--]n[Amb][+DirE]

hayk'aqpas	hayk'aq[PrnInterr][=cuándo][^DB][--]pas[Amb][+Add]

chay	chay[PrnDem]

tuta	tuta[NRoot][=noche]

hina	hina[Part_Sim]

chhayna	chhayna[PrnDem]

niraq	niraq[NRoot][=color,clase,especie]

rayuta	rayo[NRootES][^DB][--]ta[Cas][+Acc]

rikuranichu	riku[VRoot][=ver,conocer,aparecer][^DB][--]ra[Tns][+NPst][--]ni[VPers][+1.Sg.Subj][^DB][--]chu[Amb][+Intr_Neg]

urqokunatapassi	urqu[NRoot][=cerro][--]kuna[Num][+Pl][^DB][--]ta[Cas][+Acc][^DB][--]pas[Amb][+Add][^DB][--]si[Amb][+IndE]

,	,[$,]

panpayachinman	panpa[NRoot][=suelo,tierra][--]ya[VS][+Trs][^DB][--]chi[VDeriv][+Caus][^DB][--]n[VPers][+3.Sg.Subj][--]man[Mod][+Pot]

hinaraq	hina[Part_Sim][^DB][--]raq[Amb][+Cont]

.	.[$,]

Chayqa	Chay[PrnDem][^DB][--]qa[Amb][+Top]

para	para[NRoot][=lluvia]

ukhupi	ukhu[NRoot][=dentro][^DB][--]pi[Cas][+Loc]

,	,[$,]

rayukuna	rayo[NRootES][--]kuna[Num][+Pl]

noqaykoq	nuqayku[PrnPers+1.Pl.Excl][^DB][--]q[Cas][+Gen]

ladoykuman	lado[NRootES][^DB][--]yku[NPers][+1.Pl.Excl.Poss][^DB][--]man[Cas][+Dat_Ill]

chayayamushaqtin	chaya[VRoot][=llegar][--]ya[VDeriv][+Aff][--]mu[VDeriv][+Cis_Trs][^DB][--]sha[Asp][+Prog][^DB][--]qti[NS][+DS][^DB][--]n[NPers][+3.Sg.Poss]

,	,[$,]

wawacha	wawa[NRoot][=niño][--]cha[NDeriv][+Dim]

mamanmanta	mama[NRoot][=madre,señora][^DB][--]n[NPers][+3.Sg.Poss][^DB][--]manta[Cas][+Abl]

lloqsirun	lluqsi[VRoot][=salir][--]ru[VDeriv][+Rptn][^DB][--]n[VPers][+3.Sg.Subj]

,	,[$,]

qaparqachaspa	qapa[VRoot][=gritar][--]rqa[VDeriv][+Rptn][--]cha[VDeriv][+Vdim][^DB][--]spa[NS][+SS]

rayukunawanmanpassi	rayukunawanmanpassi	+?

mancharisqa	mancha[VRoot][=tener_miedo][--]ri[VDeriv][+Inch][^DB][--]sqa[NS][+Perf]

kashanman	ka[VRoot][=ser][^DB][--]sha[Asp][+Prog][--]n[VPers][+3.Sg.Subj][--]man[Mod][+Pot]

hinaraq	hina[Part_Sim][^DB][--]raq[Amb][+Cont]

.	.[$,]

Hinaspan	Hina[VRoot][=hacer_así,ser_así][^DB][--]spa[NS][+SS][^DB][--]n[Amb][+DirE]

chay	chay[PrnDem]

kutin	kuti[NRoot][=vez][^DB][--]n[NPers][+3.Sg.Poss]

ña	ña[Part_Disc]

illamuy	illa[VRoot][=amanecer,brillar][--]mu[VDeriv][+Cis_Trs][^DB][--]y[NS][+Inf]

kashaqtinña	ka[VRoot][=ser][^DB][--]sha[Asp][+Prog][^DB][--]qti[NS][+DS][^DB][--]n[NPers][+3.Sg.Poss][^DB][--]ña[Amb][+Disc]

,	,[$,]

ñawiykuna	ñawi[NRoot][=ojo][^DB][--]y[NPers][+1.Sg.Poss][--]kuna[Num][+Pl]

nanayta	nana[VRoot][=doler][^DB][--]y[NS][+Inf][^DB][--]ta[Cas][+Acc]

qallariwan	qalla[VRoot][=empezar][--]ri[VDeriv][+Inch][^DB][--]wa[VPers][+1.Obj][^DB][--]n[VPers][+3.Sg.Subj]

,	,[$,]

ñawiykunamanpassi	ñawi[NRoot][=ojo][^DB][--]y[NPers][+1.Sg.Poss][--]kuna[Num][+Pl][^DB][--]man[Cas][+Dat_Ill][^DB][--]pas[Amb][+Add][^DB][--]si[Amb][+IndE]

chay	chay[PrnDem]

caballo	caballo[NRootES]

markana	markana	+?

ruphashaq	rupha[VRoot][=arder][^DB][--]sha[Asp][+Prog][^DB][--]q[NS][+Ag]

fierrota	fierro[NRootES][^DB][--]ta[Cas][+Acc]

sat'iruwankuman	sat'i[VRoot][=introducir][--]ru[VDeriv][+Rptn][^DB][--]wa[VPers][+1.Obj][^DB][--]nku[VPers][+3.Pl.Subj][--]man[Mod][+Pot]

karan	ka[VRoot][=ser][^DB][--]ra[Tns][+NPst][--]n[VPers][+3.Sg.Subj]

hinaraq	hina[Part_Sim][^DB][--]raq[Amb][+Cont]

.	.[$,]

Manataq	Mana[Part_Neg][^DB][--]taq[Amb][+Con_Intr]

hayk'aqpas	hayk'aq[PrnInterr][=cuándo][^DB][--]pas[Amb][+Add]

chhaynata	chhayna[PrnDem][^DB][--]ta[Cas][+Acc]

nanawaqchu	nana[VRoot][=doler][^DB][--]wa[VPers][+1.Obj][^DB][--]q[NS][+Ag][^DB][--]chu[Amb][+Intr_Neg]

ñawi	ñawi[NRoot][=ojo]

t'isarukuy	t'isa[VRoot][=escarmenar_lana][--]ru[VDeriv][+Rptn][^DB][--]ku[VDeriv][+Rflx_Int][^DB][--]y[NS][+Inf]

ganas	ganas[NRootES]

nanaywan	nana[VRoot][=doler][^DB][--]y[NS][+Inf][^DB][--]wan[Cas][+Con_Inst]

,	,[$,]

